# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20260101-20260131
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://sacrd.org/portal/westcaretx/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=231,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=231,attribute,231,6,6
https://www.comalcares.org/portal/housingservices/?zipcode=78130&lat=29.69224&lng=-98.06877&gp=hsp_m,?zipcode=78130&lat=29.69224&lng=-98.06877&gp=hsp_masterselector&a=303,attribute,303,6,6
https://www.sacrd.org/portal/disabilitysupport/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=idd_star,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=idd_start,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?gp=mainPage&zipcode=78205&lat=29.42364&lng=-98.48647&a,?gp=mainPage&zipcode=78205&lat=29.42364&lng=-98.48647&a=303,attribute,303,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=&lat=29.42364&lng=-98.48647&gp=hsp_startingpag,?zipcode=&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78205&gp=mainPage,?zipcode=78205&gp=mainPage,clear,-,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a,"?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,304",attribute,304,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a,"?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=303,304",attribute,304,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=303,attribute,303,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78218&gp=hsp_masterselector&a=303,?zipcode=78218&gp=hsp_masterselector&a=303,attribute,303,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78218&gp=hsp_masterselector&a=303,?zipcode=78218&gp=hsp_masterselector&a=303,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78218&gp=hsp_startingpage#,?zipcode=78218&gp=hsp_startingpage,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78218&lat=29.42364&lng=-98.48647&gp=hsp_starti,?zipcode=78218&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78220&lat=29.42364&lng=-98.48647&gp=mainPage&a,?zipcode=78220&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,attribute,302,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78245&lat=29.42364&lng=-98.48647&gp=mainPage&a,?zipcode=78245&lat=29.42364&lng=-98.48647&gp=mainPage&a=542,attribute,542,6,6
https://www.sacrd.org/portal/housingservices/?zipcode=78253&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78253&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,6,6
https://sacrd.org/portal/housingservices/?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,5,5
https://sacrd.org/portal/housingservices/?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,5,5
https://sacrd.org/portal/housingservices/?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwi,?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,5,5
https://sacrd.org/portal/housingservices/?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78015&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,5,5
https://sacrd.org/portal/housingservices/?zipcode=78109&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78109&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,5,5
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,5,5
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,5,5
